Parent ID,Parent SKU,Product ID,Product SKU,Product Name,Slug,Permalink,Product URL,Description,Excerpt,Product Published,Product Modified,Type,Visibility,Featured,Virtual,Downloadable,Price,Sale Price,Sale Price Dates From,Sale Price Dates To,Weight,Weight Unit,Height,Height Unit,Width,Width Unit,Length,Length Unit,Category,Tag,Featured Image,Tax Status,Tax Class,File Download,Download Limit,Download Expiry,Download Type,Manage Stock,Quantity,Stock Status,Allow Backorders,Sold Individually,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Sort Order,Attribute: UTILITATE,Attribute: TIP MOBILIER,Attribute: PRET ( Lei ),Attribute: DISPONIBILITATE,Attribute: CULOARE MOBILIER,Attribute: CULOARE PRODUS,Attribute: PENTRU,Attribute: ACCESORII,Attribute: BRANDURI,Attribute: MATERIAL,Attribute: DISCOUNT %
,,4207,,SETURI LENJERII,asternuturi,http://bebe.wphit.com/magazin/fara-categorie/asternuturi/,http://bebe.wphit.com/magazin/fara-categorie/asternuturi/,,,10/8/2014,16/01/2015,Grouped Product,Catalog & Search,No,No,No,850,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/09/SETURI-LENJERIE-BEBELUSI.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,1,,,,,,,,,,,
,,4206,,PROMOTII,promotii,http://bebe.wphit.com/magazin/fara-categorie/promotii/,http://bebe.wphit.com/magazin/fara-categorie/promotii/,"<img src=""http://www.camerabebelusului.ro/wp-content/uploads/2013/07/PROMOTIE-PACHET-BUBU.png"" alt=""PROMOTIE PACHET BUBU"" width=""940"" height=""416"" class=""aligncenter size-full wp-image-4306"" />",,1/7/2014,11/9/2014,Grouped Product,Catalog & Search,No,No,No,121,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/03/PROMOTII-SAVE.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,0,,,,,,,,,,,
,,4203,,ACCESORII NOI,accesorii-noi,http://bebe.wphit.com/magazin/fara-categorie/accesorii-noi/,http://bebe.wphit.com/magazin/fara-categorie/accesorii-noi/,,"<strong>
- Tarcuri
- Saltele Tarc
- Mese de infasat
</strong>",1/7/2014,23/01/2015,Grouped Product,Catalog & Search,No,No,No,99,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/08/TARC-COPII-ITALIA.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,4,,,,,,,,,,,
,,4195,,Promotii Mobilier,promotii-mobilier,http://bebe.wphit.com/magazin/fara-categorie/promotii-mobilier/,http://bebe.wphit.com/magazin/fara-categorie/promotii-mobilier/,,,30/07/2013,19/09/2014,Grouped Product,Catalog & Search,No,No,No,1603,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/08/SALE.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,41,,,,,,,,,,,
,,4140,112114,Comoda Petit Crem,comoda-petit-blue,http://bebe.wphit.com/magazin/fara-categorie/comoda-petit-blue/,http://bebe.wphit.com/magazin/fara-categorie/comoda-petit-blue/,"<strong>Dimensiuni

L 81 cm
P 48 cm
H 100,5 cm</strong>",,22/07/2014,25/02/2015,Simple Product,Catalog & Search,No,No,No,1179,1061,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/COMODA-BEBELUSI-ERBESI-ITALIA-CREM.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,4,,,,,,,,,,,
,,4138,112113,Patut Petit Roz,patut-petit-pink,http://bebe.wphit.com/magazin/fara-categorie/patut-petit-pink/,http://bebe.wphit.com/magazin/fara-categorie/patut-petit-pink/,"<strong>Dimensiuni

L 136 cm
P 76,5 cm
H 103 cm</strong>",,22/07/2014,25/02/2015,Simple Product,Catalog & Search,No,No,No,1998,1798,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/PATUT-BEBELUSI-PETIT-PINK-ERBESI-ITALIA.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,2,,,,,,,,,,,
,,4135,112112,Patut Petit Blue,patut-petit-blue,http://bebe.wphit.com/magazin/fara-categorie/patut-petit-blue/,http://bebe.wphit.com/magazin/fara-categorie/patut-petit-blue/,"<strong>Dimensiuni

L 136 cm
P 76,5 cm
H 103 cm</strong>",,22/07/2014,25/02/2015,Simple Product,Catalog & Search,No,No,No,1998,1798,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/PATUT-BEBELUSI-PETIT-BLUE-ERBESI-ITALIA.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,1,,,,,,,,,,,
,,4093,113024,Twilight Dreams Green,twilight-dreams-green,http://bebe.wphit.com/magazin/fara-categorie/twilight-dreams-green/,http://bebe.wphit.com/magazin/fara-categorie/twilight-dreams-green/,"<strong>- Proiectie tavan
- Material Plastic
- 2 lumini diferite
- Cadoul perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,102,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/CLOUD-B-GREEN.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,20,,,,,,,,,,,
,,4091,113023,Twilight Dreams Roz,twilight-dreams-pink,http://bebe.wphit.com/magazin/fara-categorie/twilight-dreams-pink/,http://bebe.wphit.com/magazin/fara-categorie/twilight-dreams-pink/,"<strong>- Proiectie tavan
- Material Plastic
- 2 lumini diferite
- Cadoul perfect</strong>",,14/07/2014,3/12/2014,Simple Product,Catalog & Search,No,No,No,102,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/CLOUD-B-ROZ.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,19,,,,,,,,,,,
,,4089,113022,Twilight Turtle Mocha,twilight-turtle-mocha,http://bebe.wphit.com/magazin/fara-categorie/twilight-turtle-mocha/,http://bebe.wphit.com/magazin/fara-categorie/twilight-turtle-mocha/,"<strong>- Proiectie tavan
- Material Plastic
- 3 lumini diferite
- Cadoul perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,170,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/TWILIGHT-TURTLE.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,18,,,,,,,,,,,
,,4087,113021,Twilight Turtle Blue,twilight-turtle-blue,http://bebe.wphit.com/magazin/fara-categorie/twilight-turtle-blue/,http://bebe.wphit.com/magazin/fara-categorie/twilight-turtle-blue/,"<strong>- Proiectie tavan
- Material Plastic
- 3 lumini diferite
- Cadoul perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,170,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/CLOUD-B-TURTLE-BLUE.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,16,,,,,,,,,,,
,,4081,113019,Lampa De Veghe Good Night Roz,lampa-de-veghe-good-night-roz,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-good-night-roz/,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-good-night-roz/,"<strong>- Lampa de veghe
- Proiectie tavan
- Melodii
- Cadoul Perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,220,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/LAMPA-DE-VEGHE-ROZ.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,14,,,,,,,,,,,
,,4079,113018,Lampa De Veghe Good Night Bleu,lampa-de-veghe-good-night,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-good-night/,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-good-night/,"<strong>- Lampa de veghe
- Proiectie tavan
- Melodii
- Cadoul Perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,220,,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/LAMPA-DE-VEGHE.png,Taxable,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,13,,,,,,,,,,,
,,4076,113017,Lampa De Veghe Cloud,lampa-de-veghe-cloud,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-cloud/,http://bebe.wphit.com/magazin/fara-categorie/lampa-de-veghe-cloud/,"<strong>- Lampa de veghe
- Se poate atasa la patut de lemn
- Melodii
- Cadoul Perfect</strong>",,14/07/2014,10/10/2014,Simple Product,Catalog & Search,No,No,No,250,200,,,,,,,,,,,Uncategorized,,http://bebe.wphit.com/wp-content/uploads/2014/07/LAMPA-DE-VEGHE-CHICCO-CLOUD.png,,,,,,Standard,No,,In Stock,No,No,,,,,,Publish,Open,12,,,,,,,,,,,
